x;z;H
0;10;45.9777
100;10.5;44.2518
200;11;42.5259
300;11.5;40.7999
400;12;39.074
500;12.5;37.3481
600;13;35.6222
700;13.5;33.8962
800;14;32.1703
900;14.5;30.4444
1000;15;28.7185
